Antenna,Date,Time,Penguin
B,2021-09-10,12:53:52,Bowie
C,2021-09-10,12:53:52,Nugget
C,2021-09-10,12:54:00,Apple
C,2021-09-10,12:54:00,Toast
E,2021-09-10,12:54:00,Cookie
E,2021-09-10,12:54:00,Nugget
F,2021-09-10,12:54:13,Mango
H,2021-09-10,12:54:13,Apple
D,2021-09-10,12:54:32,Apple
B,2021-09-10,12:54:35,Cookie
C,2021-09-10,12:54:35,Nugget
D,2021-09-10,12:54:35,Nugget
D,2021-09-10,12:54:38,Cookie
B,2021-09-10,12:54:39,Mango
A,2021-09-10,12:54:42,Bowie
B,2021-09-10,12:54:42,Nugget
F,2021-09-10,12:54:44,Toast
H,2021-09-10,12:54:51,Apple
A,2021-09-10,12:54:54,Apple
F,2021-09-10,12:54:55,Mango
A,2021-09-10,12:54:57,Mango
A,2021-09-10,12:54:57,Nugget
E,2021-09-10,12:55:00,Apple
E,2021-09-10,12:55:00,Cookie
E,2021-09-10,12:55:00,Mango
E,2021-09-10,12:55:00,Nugget
B,2021-09-10,12:55:03,Cookie
C,2021-09-10,12:55:04,Toast
B,2021-09-10,12:55:05,Bowie
D,2021-09-10,12:55:11,Bowie
D,2021-09-10,12:55:16,Toast
D,2021-09-10,12:55:24,Cookie
D,2021-09-10,12:55:25,Mango
D,2021-09-10,12:55:33,Apple
B,2021-09-10,12:55:36,Cookie
C,2021-09-10,12:55:36,Apple
C,2021-09-10,12:55:36,Mango
C,2021-09-10,12:55:36,Toast
D,2021-09-10,12:55:37,Cookie
D,2021-09-10,12:55:52,Mango
D,2021-09-10,12:55:52,Toast
H,2021-09-10,12:55:52,Nugget
E,2021-09-10,12:56:00,Mango
E,2021-09-10,12:56:00,Toast
H,2021-09-10,12:56:14,Bowie
A,2021-09-10,12:56:17,Bowie
D,2021-09-10,12:56:18,Cookie
B,2021-09-10,12:56:21,Nugget
H,2021-09-10,12:56:28,Cookie
E,2021-09-10,12:57:00,Toast
H,2021-09-10,12:57:51,Mango
A,2021-09-10,12:57:55,Mango
B,2021-09-10,12:57:58,Cookie
D,2021-09-10,12:57:58,Nugget
C,2021-09-10,12:58:00,Bowie
C,2021-09-10,12:58:00,Mango
C,2021-09-10,12:58:00,Toast
E,2021-09-10,12:58:00,Apple
E,2021-09-10,12:58:00,Bowie
E,2021-09-10,12:58:00,Bowie
E,2021-09-10,12:58:00,Nugget
E,2021-09-10,12:58:00,Toast
B,2021-09-10,12:58:02,Toast
A,2021-09-10,12:58:03,Toast
B,2021-09-10,12:58:05,Apple
D,2021-09-10,12:58:09,Bowie
H,2021-09-10,12:58:09,Apple
D,2021-09-10,12:58:15,Toast
H,2021-09-10,12:58:19,Nugget
D,2021-09-10,12:58:21,Cookie
B,2021-09-10,12:58:26,Cookie
H,2021-09-10,12:58:27,Mango
A,2021-09-10,12:58:31,Bowie
B,2021-09-10,12:58:31,Bowie
B,2021-09-10,12:58:34,Apple
A,2021-09-10,12:58:39,Toast
B,2021-09-10,12:58:46,Mango
D,2021-09-10,12:58:46,Nugget
F,2021-09-10,12:58:50,Toast
D,2021-09-10,12:58:52,Cookie
D,2021-09-10,12:58:56,Apple
F,2021-09-10,12:58:58,Bowie
H,2021-09-10,12:58:59,Toast
C,2021-09-10,12:59:00,Bowie
C,2021-09-10,12:59:00,Mango
C,2021-09-10,12:59:00,Nugget
C,2021-09-10,12:59:00,Toast
E,2021-09-10,12:59:00,Toast
E,2021-09-10,12:59:00,Toast
E,2021-09-10,12:59:00,Toast
A,2021-09-10,12:59:15,Apple
D,2021-09-10,12:59:16,Toast
B,2021-09-10,12:59:18,Cookie
D,2021-09-10,12:59:22,Toast
H,2021-09-10,12:59:22,Nugget
A,2021-09-10,12:59:23,Nugget
B,2021-09-10,12:59:25,Apple
B,2021-09-10,12:59:27,Bowie
A,2021-09-10,12:59:28,Bowie
A,2021-09-10,12:59:28,Toast
F,2021-09-10,12:59:30,Toast
H,2021-09-10,12:59:34,Cookie
B,2021-09-10,12:59:37,Mango
B,2021-09-10,12:59:38,Toast
D,2021-09-10,12:59:41,Mango
F,2021-09-10,12:59:41,Cookie
D,2021-09-10,12:59:44,Toast
D,2021-09-10,12:59:50,Toast
F,2021-09-10,12:59:50,Bowie
H,2021-09-10,12:59:50,Cookie
D,2021-09-10,12:59:54,Apple
H,2021-09-10,12:59:56,Cookie
D,2021-09-10,12:59:59,Nugget
C,2021-09-10,13:00:00,Toast
E,2021-09-10,13:00:00,Apple
E,2021-09-10,13:00:00,Bowie
E,2021-09-10,13:00:00,Bowie
E,2021-09-10,13:00:00,Mango
E,2021-09-10,13:00:00,Mango
E,2021-09-10,13:00:00,Nugget
E,2021-09-10,13:00:00,Toast
E,2021-09-10,13:00:00,Toast
F,2021-09-10,13:00:00,Toast
F,2021-09-10,13:00:09,Bowie
D,2021-09-10,13:00:33,Apple
H,2021-09-10,13:00:36,Cookie
A,2021-09-10,13:00:40,Toast
H,2021-09-10,13:00:41,Toast
B,2021-09-10,13:00:42,Nugget
F,2021-09-10,13:00:43,Cookie
H,2021-09-10,13:00:46,Toast
A,2021-09-10,13:00:52,Nugget
F,2021-09-10,13:00:52,Mango
B,2021-09-10,13:00:54,Apple
F,2021-09-10,13:00:59,Nugget
A,2021-09-10,13:01:00,Apple
A,2021-09-10,13:01:00,Bowie
A,2021-09-10,13:01:00,Toast
E,2021-09-10,13:01:00,Bowie
E,2021-09-10,13:01:00,Cookie
E,2021-09-10,13:01:00,Mango
E,2021-09-10,13:01:00,Nugget
E,2021-09-10,13:01:00,Toast
B,2021-09-10,13:01:01,Toast
D,2021-09-10,13:01:02,Bowie
D,2021-09-10,13:01:03,Cookie
B,2021-09-10,13:01:05,Mango
F,2021-09-10,13:01:08,Toast
H,2021-09-10,13:01:12,Apple
D,2021-09-10,13:01:14,Nugget
D,2021-09-10,13:01:19,Toast
F,2021-09-10,13:01:22,Apple
B,2021-09-10,13:01:23,Toast
B,2021-09-10,13:01:28,Nugget
D,2021-09-10,13:01:28,Mango
D,2021-09-10,13:01:31,Bowie
F,2021-09-10,13:01:33,Toast
H,2021-09-10,13:01:49,Toast
A,2021-09-10,13:01:53,Apple
H,2021-09-10,13:01:54,Cookie
F,2021-09-10,13:01:56,Toast
A,2021-09-10,13:01:58,Toast
B,2021-09-10,13:01:58,Apple
C,2021-09-10,13:01:58,Cookie
C,2021-09-10,13:01:58,Nugget
C,2021-09-10,13:01:59,Mango
B,2021-09-10,13:02:06,Toast
F,2021-09-10,13:02:09,Cookie
